Thread ID: 17116160
Total: 0.069990

 %self     total     self     wait    child    calls  name
  0.18      0.00     0.00     0.00     0.00      101  String#intern
  0.18      0.00     0.00     0.00     0.00      202  Kernel#class
  0.17      0.00     0.00     0.00     0.00      101  String#to_sym
  0.17      0.00     0.00     0.00     0.00      200  Mutex#unlock
  0.15      0.00     0.00     0.00     0.00      101  Kernel#instance_variable_set
  0.13      0.00     0.00     0.00     0.00      100  Kernel#initialize_clone
  0.13      0.00     0.00     0.00     0.00      100  String#initialize_copy
  0.11      0.00     0.00     0.00     0.00      102  <Class::BasicObject>#allocate
  0.10      0.00     0.00     0.00     0.00      100  <Class::String>#allocate
  0.10      0.00     0.00     0.00     0.00      101  String#upcase
  0.09      0.00     0.00     0.00     0.00      100  String#clear
  0.04      0.07     0.00     0.00     0.07        1  Global#[No method]
  0.03      0.00     0.00     0.00     0.00        1  Hash#values
  0.02      0.00     0.00     0.00     0.00        1  #<Class:0x00000002ed3ee0(HammerBuilder::Formated.dc[:Samp])>#set_tag
  0.02      0.00     0.00     0.00     0.00        1  HammerBuilder::Abstract#initialize
  0.02      0.00     0.00     0.00     0.00        2  IO#write
  0.01      0.00     0.00     0.00     0.00        1  #<Class:0x00000003938b88(HammerBuilder::Formated.dc[:Style])>#set_tag
  0.01      0.00     0.00     0.00     0.00        1  #<Class:0x00000003d8b190(HammerBuilder::Formated.dc[:Input])>#set_tag
  0.01      0.00     0.00     0.00     0.00        1  #<Class:0x000000035d2f98(HammerBuilder::Formated.dc[:Keygen])>#set_tag
  0.01      0.00     0.00     0.00     0.00        1  #<Class:0x0000000316ade8(HammerBuilder::Formated.dc[:Datalist])>#set_tag
  0.01      0.00     0.00     0.00     0.00        1  #<Class:0x000000033b4e50(HammerBuilder::Formated.dc[:Ol])>#set_tag
  0.01      0.00     0.00     0.00     0.00        1  #<Class:0x000000026c2b20(HammerBuilder::Formated.dc[:I])>#set_tag
  0.01      0.00     0.00     0.00     0.00        1  #<Class:0x000000026d9aa0(HammerBuilder::Formated.dc[:Aside])>#set_tag
  0.01      0.00     0.00     0.00     0.00        1  #<Class:0x00000003e3c620(HammerBuilder::Formated.dc[:Base])>#set_tag
  0.01      0.00     0.00     0.00     0.00        1  #<Class:0x000000035ed488(HammerBuilder::Formated.dc[:H2])>#set_tag
  0.01      0.00     0.00     0.00     0.00        1  #<Class:0x00000003ceef48(HammerBuilder::Formated.dc[:Ul])>#set_tag
  0.01      0.00     0.00     0.00     0.00        1  #<Class:0x000000035d4d20(HammerBuilder::Formated.dc[:Code])>#set_tag
  0.01      0.00     0.00     0.00     0.00        1  #<Class:0x00000002fe7a98(HammerBuilder::Formated.dc[:Footer])>#set_tag
  0.01      0.00     0.00     0.00     0.00        1  #<Class:0x00000003e11358(HammerBuilder::Formated.dc[:Embed])>#set_tag
  0.01      0.00     0.00     0.00     0.00        1  #<Class:0x00000003211c38(HammerBuilder::Formated.dc[:Html])>#set_tag
  0.01      0.00     0.00     0.00     0.00        1  #<Class:0x00000003801418(HammerBuilder::Formated.dc[:Rp])>#set_tag
  0.01      0.00     0.00     0.00     0.00        1  #<Class:0x00000003a59580(HammerBuilder::Formated.dc[:Option])>#set_tag
  0.01      0.00     0.00     0.00     0.00        1  Class#inheritable_attributes
  0.01      0.00     0.00     0.00     0.00        1  #<Class:0x000000022d02d8(HammerBuilder::Formated.dc[:Dt])>#set_tag
  0.01      0.00     0.00     0.00     0.00        1  HammerBuilder::Abstract#tags
  0.01      0.00     0.00     0.00     0.00        1  Class#read_inheritable_attribute
  0.01      0.00     0.00     0.00     0.00        1  #<Class:0x000000033a83d0(HammerBuilder::Formated.dc[:A])>#set_tag
  0.01      0.00     0.00     0.00     0.00        1  #<Class:0x00000003a61168(HammerBuilder::Formated.dc[:Span])>#set_tag
  0.01      0.00     0.00     0.00     0.00        1  #<Class:0x00000003aece20(HammerBuilder::Formated.dc[:Var])>#set_tag
